date,rub_to_usd
2006-09-24,25.598906
2006-09-23,25.598906
2006-09-22,25.598906
2022-01-15,76.174559
2020-08-27,75.039982
2018-07-26,62.817345
2021-04-23,74.8721
2015-06-11,53.834424
2018-11-15,67.066832
2015-02-12,65.475248
2019-02-19,66.219943
2010-06-27,30.947062
2018-04-18,61.548129
2012-08-09,31.50586
2010-06-25,30.947062
2010-06-26,30.947062
2016-07-28,65.989253
2015-04-06,55.694573
2005-06-01,28.47491
2022-07-17,57.977325
2022-09-09,60.712492
2018-05-13,61.71371
2018-05-12,61.71371
2018-05-11,61.71371
2012-02-07,30.069273
2022-05-02,70.673662
2021-06-26,72.210999
2017-10-31,57.918648
2018-07-18,62.652536
2005-04-22,27.752258
2012-05-08,30.003675
2005-04-24,27.752258
2005-04-23,27.752258
2013-04-23,31.58651
2021-12-09,73.638695
2011-02-20,29.207691
2011-02-19,29.207691
2011-02-18,29.207691
2021-04-26,74.963129
2020-12-28,73.891105
2022-01-29,78.159939
2018-01-31,56.369702
2012-05-06,29.44588
2012-05-04,29.44588
2012-05-05,29.44588
2005-09-19,28.424911
2006-04-03,27.710685
2006-01-11,28.386193
2012-09-17,30.487572
2007-03-09,26.229033
2007-03-10,26.229033
2007-03-11,26.229033
2012-10-18,30.75244
2021-09-02,73.048827
2008-09-14,25.471208
2008-09-12,25.471208
2008-09-13,25.471208
2009-11-17,28.735162
2015-07-20,56.944137
2015-03-31,57.580148
2008-03-27,23.465916
2019-07-04,63.291106
2018-08-13,67.689074
2011-08-22,28.426474
2010-11-30,31.415522
2019-12-10,63.54207
2016-07-06,64.219792
2017-01-19,59.13662
2007-08-08,25.421285
2008-04-14,23.478673
2019-02-10,65.911456
2015-02-25,63.101508
2017-06-28,58.684011
2019-02-09,65.911456
2019-02-08,65.911456
2012-09-18,30.635545
2006-12-26,26.366133
2009-09-03,31.779602
2010-11-15,30.042723
2011-12-17,31.008826
2011-12-18,31.008826
2011-12-16,31.008826
2007-07-12,25.488106
2020-12-25,74.059989
2020-12-26,74.059989
2006-10-09,25.787477
2015-10-29,63.966237
2010-11-20,30.970052
2010-11-19,30.970052
2010-11-21,30.970052
2013-07-13,32.53031
2013-07-12,32.53031
2013-07-14,32.53031
2011-10-11,31.622882
2010-02-13,30.172497
2007-07-02,25.63623
2010-02-14,30.172497
2010-02-12,30.172497
2009-02-26,35.647512
2010-07-13,30.591463
2022-06-20,55.477695
2022-06-22,53.844232
2019-08-17,66.061724
2017-05-21,57.604733
2015-04-30,50.640184
2017-05-19,57.604733
2019-08-16,66.061724
2019-08-18,66.061724
2017-05-20,57.604733
2020-06-30,71.1762
2017-08-07,59.876974
2015-01-14,65.313381
2017-12-12,58.944133
2005-11-09,28.751061
2013-06-27,32.964728
2009-02-03,35.870207
2012-12-12,30.69323
2007-12-28,24.001767
2007-12-30,24.001767
2007-12-29,24.001767
2009-10-28,29.258595
2006-09-13,26.788218
2006-07-13,26.91817
2010-09-27,30.044959
2009-02-19,35.955684
2008-08-11,24.298495
2020-02-14,63.598193
2020-05-11,73.519193
2020-02-16,63.598193
2020-02-15,63.598193
2015-03-09,60.417481
2008-04-08,23.732186
2018-05-17,61.668275
2017-08-24,58.960142
2006-01-02,28.776339
2022-05-15,65.268913
2020-10-07,78.047391
2009-09-24,29.5272
2006-04-12,27.698531
2010-06-13,31.499587
2010-06-12,31.499587
2010-06-11,31.499587
2014-06-30,33.683744
2011-01-25,29.846892
2007-10-22,24.928773
2007-03-25,26.028427
2007-03-24,26.028427
2007-03-23,26.028427
2016-11-02,63.276838
2018-02-22,56.737095
2021-04-20,76.844019
2016-06-09,63.510476
2015-09-08,67.798011
2007-07-25,25.475739
2018-05-09,63.219414
2017-12-05,58.796764
2010-04-22,29.281311
2016-04-06,68.400984
2008-06-23,23.655865
2012-12-30,30.314717
2012-12-29,30.314717
2012-12-28,30.314717
2007-08-10,25.445248
2014-01-24,34.096428
2007-08-11,25.445248
2014-01-26,34.096428
2014-01-25,34.096428
2007-08-12,25.445248
2007-06-10,25.985778
2009-01-12,30.643862
2012-03-27,28.941093
2007-06-08,25.985778
2007-06-09,25.985778
2005-06-24,28.598115
2005-06-25,28.598115
2005-06-26,28.598115
2021-11-06,71.112077
2022-05-17,65.659969
2017-01-11,59.545963
2022-09-06,60.736339
2007-02-15,25.164446
2012-04-18,29.485954
2013-02-08,30.237359
2013-02-10,30.237359
2013-02-09,30.237359
2020-09-03,75.243429
2022-04-12,85.342273
2022-07-23,58.122061
2017-11-30,58.625717
2022-03-16,100.952068
2017-02-27,58.043874
2006-02-28,28.004191
2021-06-19,72.799602
2020-08-04,73.423095
2007-10-30,24.6759
2020-03-25,78.215588
2009-12-29,30.167747
2009-08-31,31.705292
2021-03-30,75.922488
2012-07-04,32.135253
2009-06-18,30.716852
2005-06-08,28.558588
2018-05-02,63.468229
2010-06-09,31.744079
2022-01-18,76.822941
2016-07-07,64.157942
2019-10-29,63.707902
2014-07-20,35.21577
2014-07-19,35.21577
2014-07-18,35.21577
2008-11-06,26.765813
2006-09-12,26.787712
2017-02-23,57.808888
2012-04-16,29.634985
2020-12-01,75.999969
2016-03-24,68.652893
2020-03-04,66.175297
2016-09-20,64.57079
2022-08-02,62.976794
2008-05-04,23.780873
2008-05-03,23.780873
2008-05-02,23.780873
2008-09-10,25.73155
2009-06-10,30.853618
2016-12-13,60.379628
2015-11-24,58.061173
2016-12-26,61.055954
2017-01-17,59.601811
2014-11-10,46.337292
2007-06-26,25.802662
2013-11-16,32.758123
2013-11-17,32.758123
2013-11-15,32.758123
2020-07-06,71.811793
2021-11-13,72.879749
2021-09-17,72.793861
2005-05-09,27.729288
2015-06-13,54.423539
2015-06-12,54.423539
2015-06-14,54.423539
2016-09-12,63.653945
2016-09-08,64.068143
2020-12-22,75.913491
2012-05-14,30.239922
2012-09-26,31.199845
2013-05-23,31.359679
2008-09-06,25.461786
2008-09-05,25.461786
2008-09-07,25.461786
2012-01-18,30.822219
2009-01-21,32.206459
2022-03-09,136.193733
2018-01-03,57.4571
2005-10-26,28.512808
2006-02-24,28.204243
2006-02-25,28.204243
2017-12-21,58.720913
2006-02-26,28.204243
2014-03-18,36.243627
2010-02-01,30.341208
2016-11-30,65.051089
2021-08-10,73.863566
2019-01-15,67.018217
2018-10-24,65.556524
2006-04-19,27.409921
2005-08-09,28.381806
2020-11-09,76.298103
2011-07-26,27.694197
2015-09-12,67.439022
2015-09-11,67.439022
2016-08-27,64.601452
2016-06-14,65.418475
2016-08-26,64.601452
2016-08-28,64.601452
2015-09-13,67.439022
2014-02-03,35.17156
2010-07-22,30.328683
2012-09-13,31.553747
2005-04-20,27.65034
2007-03-05,26.261939
2010-04-08,29.412694
2011-10-03,32.395928
2010-12-15,30.780031
2014-08-19,36.025672
2010-11-23,31.164167
2011-02-13,29.387002
2011-02-11,29.387002
2011-02-12,29.387002
2014-06-24,34.042567
2010-05-02,29.225899
2010-05-01,29.225899
2010-04-30,29.225899
2015-06-28,54.649201
2015-06-27,54.649201
2015-06-26,54.649201
2016-03-29,68.422744
2013-02-06,29.971872
2005-07-19,28.607648
2021-09-16,72.425094
2008-10-05,25.551396
2007-07-15,25.441494
2009-06-15,31.187885
2008-10-04,25.551396
2007-07-14,25.441494
2007-07-13,25.441494
2008-10-03,25.551396
2017-03-12,59.023728
2017-02-15,56.820287
2017-03-11,59.023728
2017-03-10,59.023728
2008-11-25,26.54074
2013-05-12,31.241215
2013-05-10,31.241215
2013-05-11,31.241215
2008-04-03,23.587796
2006-06-12,25.975687
2010-01-29,30.366265
2011-03-03,28.38451
2010-01-30,30.366265
2010-01-31,30.366265
2007-09-13,25.358044
2018-04-23,61.405361
2007-11-20,24.322794
2011-05-04,27.381784
2009-07-18,31.698192
2009-07-17,31.698192
2009-07-19,31.698192
2018-02-06,57.304657
2018-07-03,63.399416
2018-04-02,57.388338
2010-09-12,30.910581
2010-09-10,30.910581
2010-09-11,30.910581
2016-06-23,63.807733
2008-11-03,26.999128
2014-08-02,35.692532
2014-08-01,35.692532
2014-08-18,36.138611
2014-08-03,35.692532
2013-06-19,31.984914
2010-04-21,29.121957
2011-03-23,28.297925
