conf_id,event,country
0,TEDxUofM,United States
4,TEDxMileHigh,United States
44,TEDxCMU,United States
48,TEDxSaltLakeCity,United States
54,TEDxSydney,Australia
84,TEDxPSU,United States
93,TEDxMidAtlantic,United States
133,TEDxZurich,Switzerland
135,TEDxMarin,United States
141,TEDWomen 2020,United States
161,TEDxStanford,United States
175,TEDxVienna,Austria
183,TEDxLondonBusinessSchool,UK
188,TEDxBerkeley,United States
195,TED Studio,United States
203,TEDxExeter,UK
218,TEDxUniversityofNevada,United States
228,TEDxSMU,United States
234,TEDxManchester,UK
238,TEDWomen 2019,United States
276,TEDxNatick,United States
278,TEDxDublin,Ireland
283,TEDxGeorgetown,United States
285,TEDxKC,United States
290,TEDxBeaconStreet,United States
330,TEDxRainier,United States
338,TED2019,Canada
439,TEDSummit 2019,Scotland
487,TED-Ed Weekend,United States
493,TEDxBend,United States
497,TEDxToulouse,France
499,TED Residency,United States
539,TEDxPerth,Australia
542,TEDxDirigo,United States
544,TEDxRiodelaPlata,Argentina
564,TEDxCERN,Switzerland
574,TEDxManhattanBeach,United States
580,TEDxBoulder,United States
587,TEDxAmsterdam,Netherlands
592,TEDxCambridge,UK
604,TEDxNewYork,United States
612,TEDxBinghamtonUniversity,United States
615,TEDxOslo,Norway
621,TED2009,United States
704,TEDxAtlanta,United States
707,TEDxCanberra,Australia
711,TEDxBloomington,United States
714,TEDWomen 2018,United States
758,TEDxKyoto,Japan
762,TEDxMtHood,United States
764,TEDxGroningen,Netherlands
767,TEDxTeen,United States
772,TED2018,Canada
876,TEDxToronto,Canada
880,TEDxSFU,United States
882,TEDxWarwick,UK
888,TED2017,Canada
985,TEDxEuston,UK
988,TEDxAthens,Greece
990,TEDxThessaloniki,Greece
994,TEDxGhent,Belgium
997,TEDxVirginiaTech,United States
999,TEDxColumbus,United States
1003,TEDxPeachtree,United States
1007,TED@UPS,United States
1060,TEDxManhattan,United States
1063,TEDGlobal 2017,Tanzania
1117,TEDWomen 2017,United States
1153,TEDxAmoskeagMillyard,United States
1155,TEDxGatewayWomen,United States
1157,TEDNYC,United States
1182,TEDxPortland,United States
1184,TEDxPlaceDesNations,Switzerland
1187,TEDxDanubia,Hungary
1190,TEDxPenn,United States
1193,TEDxUF,United States
1195,TED@IBM,United States
1256,TEDxSF,United States
1258,TEDxMidAtlantic 2013,United States
1261,TEDxMontreal,Canada
1263,TEDxSkoll,United States
1266,TEDMED 2016,United States
1277,TEDxPennsylvaniaAvenue,United States
1279,TEDxYouth@Sydney,Australia
1282,TEDxProvidence,United States
1284,TEDxBratislava,Slovakia
1287,TEDxIndianaUniversity,United States
1289,TEDxHamburg,Germany
1290,TEDxCrenshaw,United States
1291,TEDxOrcasIsland,United States
1292,TED2016,Canada
1369,TEDLagos Ideas Search,Nigeria
1371,TEDxFulbrightDublin,Ireland
1372,TEDNairobi Ideas Search,Kenya
1373,TEDWomen 2016,United States
1398,TEDxColumbusWomen,United States
